2013-12-29 12:18:40 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 6:05:02 - INFO  --> 34	gaosony	462.5	0	0.69100498	0.34550249	0.00000000	0.00691005 
2013-12-31 6:05:02 - INFO  --> 3	capslock1874	2260	60	3.37658651	1.68829326	0.00000000	0.03376587 
2013-12-31 6:05:02 - INFO  --> 8	a768361999	3000	0	4.48219448	2.24109724	0.00000000	0.04482194 
2013-12-31 6:09:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 6:09:02 - INFO  --> 30	zhenxijiao713	5144	334	49.22252524	24.61126262	0.00000000	0.49222525 
2013-12-31 6:09:02 - INFO  --> 6	zhengyi2	608	0	5.81790345	2.90895173	0.00000000	0.05817903 
2013-12-31 6:09:02 - INFO  --> 32	x358512028	2822.5	42.5	27.00827712	13.50413856	0.00000000	0.27008277 
2013-12-31 6:09:02 - INFO  --> 21	WTQ282859849	300	0	2.87067604	1.43533802	0.00000000	0.02870676 
2013-12-31 6:09:02 - INFO  --> 42	qwep	416	0	3.98067078	1.99033539	0.00000000	0.03980671 
2013-12-31 6:09:02 - INFO  --> 37	qwe57001	180	0	1.72240563	0.86120282	0.00000000	0.01722406 
2013-12-31 6:09:02 - INFO  --> 19	lary	85	0	0.81335821	0.40667911	0.00000000	0.00813358 
2013-12-31 6:09:02 - INFO  --> 34	gaosony	75	0	0.71766901	0.35883451	0.00000000	0.00717669 
2013-12-31 6:09:02 - INFO  --> 3	capslock1874	460	0	4.40170327	2.20085164	0.00000000	0.04401703 
2013-12-31 6:09:02 - INFO  --> 8	a768361999	360	0	3.44481125	1.72240563	0.00000000	0.03444811 
2013-12-31 6:53:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 6:53:01 - INFO  --> 30	zhenxijiao713	57284	1578	50.28374802	25.14187401	0.00000000	0.50283748 
2013-12-31 6:53:01 - INFO  --> 6	zhengyi2	5792	192	5.08420272	2.54210136	0.00000000	0.05084203 
2013-12-31 6:53:01 - INFO  --> 32	x358512028	32292.5	327.5	28.34627353	14.17313677	0.00000000	0.28346274 
2013-12-31 6:53:01 - INFO  --> 21	WTQ282859849	1650	50	1.44836576	0.72418288	0.00000000	0.01448366 
2013-12-31 6:53:01 - INFO  --> 42	qwep	4688	0	4.11511436	2.05755718	0.00000000	0.04115114 
2013-12-31 6:53:02 - INFO  --> 37	qwe57001	1850	10	1.62392525	0.81196263	0.00000000	0.01623925 
2013-12-31 6:53:02 - INFO  --> 19	lary	915	0	0.80318465	0.40159233	0.00000000	0.00803185 
2013-12-31 6:53:02 - INFO  --> 34	gaosony	515	0	0.45206568	0.22603284	0.00000000	0.00452066 
2013-12-31 6:53:02 - INFO  --> 3	capslock1874	3760	100	3.30051834	1.65025917	0.00000000	0.03300518 
2013-12-31 6:53:02 - INFO  --> 8	a768361999	5175	0	4.54260170	2.27130085	0.00000000	0.04542602 
2013-12-31 7:09:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 7:09:01 - INFO  --> 30	zhenxijiao713	20142	240	46.90840495	23.45420248	0.00000000	0.46908405 
2013-12-31 7:09:02 - INFO  --> 6	zhengyi2	2304	0	5.36575141	2.68287571	0.00000000	0.05365751 
2013-12-31 7:09:02 - INFO  --> 32	x358512028	11677.5	132.5	27.19555649	13.59777825	0.00000000	0.27195557 
2013-12-31 7:09:02 - INFO  --> 21	WTQ282859849	640	20	1.49048650	0.74524325	0.00000000	0.01490487 
2013-12-31 7:09:02 - INFO  --> 42	qwep	2304	32	5.36575141	2.68287571	0.00000000	0.05365751 
2013-12-31 7:09:02 - INFO  --> 37	qwe57001	570	0	1.32746454	0.66373227	0.00000000	0.01327465 
